Country;Code;Region;Year;GDP
Afghanistan;AFG;South Asia;1960;537777811.911111
Afghanistan;AFG;South Asia;1961;548888894.577778
Afghanistan;AFG;South Asia;1962;546666678.044444
Afghanistan;AFG;South Asia;1963;751111190.755556
Afghanistan;AFG;South Asia;1964;800000045.511111
Afghanistan;AFG;South Asia;1965;1006666638.22222
Afghanistan;AFG;South Asia;1966;1399999965.86667
Afghanistan;AFG;South Asia;1967;1673333418.66667
Afghanistan;AFG;South Asia;1968;1373333367.46667
Afghanistan;AFG;South Asia;1969;1408888923.02222
Afghanistan;AFG;South Asia;1970;1748886596.26667
Afghanistan;AFG;South Asia;1971;1831108972.08889
Afghanistan;AFG;South Asia;1972;1595555475.91111
Afghanistan;AFG;South Asia;1973;1733333265.06667
Afghanistan;AFG;South Asia;1974;2155555498.66667
Afghanistan;AFG;South Asia;1975;2366666615.46667
Afghanistan;AFG;South Asia;1976;2555555566.93333
Afghanistan;AFG;South Asia;1977;2953333418.66667
Afghanistan;AFG;South Asia;1978;3300000108.08889
Afghanistan;AFG;South Asia;1979;3697940345.14177
Afghanistan;AFG;South Asia;1980;3641723447.18433
Afghanistan;AFG;South Asia;1981;3478787909.81818
Afghanistan;AFG;South Asia;1982;
Afghanistan;AFG;South Asia;1983;
Afghanistan;AFG;South Asia;1984;
Afghanistan;AFG;South Asia;1985;
Afghanistan;AFG;South Asia;1986;
Afghanistan;AFG;South Asia;1987;
Afghanistan;AFG;South Asia;1988;
Afghanistan;AFG;South Asia;1989;
Afghanistan;AFG;South Asia;1990;
Afghanistan;AFG;South Asia;1991;
Afghanistan;AFG;South Asia;1992;
Afghanistan;AFG;South Asia;1993;
Afghanistan;AFG;South Asia;1994;
Afghanistan;AFG;South Asia;1995;
Afghanistan;AFG;South Asia;1996;
Afghanistan;AFG;South Asia;1997;
Afghanistan;AFG;South Asia;1998;
Afghanistan;AFG;South Asia;1999;
Afghanistan;AFG;South Asia;2000;
Afghanistan;AFG;South Asia;2001;2461666314.78366
Afghanistan;AFG;South Asia;2002;4128818042.25508
Afghanistan;AFG;South Asia;2003;4583648921.64112
Afghanistan;AFG;South Asia;2004;5285461999.33739
Afghanistan;AFG;South Asia;2005;6275076016.47174
Afghanistan;AFG;South Asia;2006;7057597614.45076
Afghanistan;AFG;South Asia;2007;9843851009.41462
Afghanistan;AFG;South Asia;2008;10190534636.6444
Afghanistan;AFG;South Asia;2009;12486950468.1773
Afghanistan;AFG;South Asia;2010;15936784437.224
Afghanistan;AFG;South Asia;2011;17870159081.787
Afghanistan;AFG;South Asia;2012;20506795254.4884
Afghanistan;AFG;South Asia;2013;20309671014.6236
Angola;AGO;Sub-Saharan Africa;1960;
Angola;AGO;Sub-Saharan Africa;1961;
Angola;AGO;Sub-Saharan Africa;1962;
Angola;AGO;Sub-Saharan Africa;1963;
Angola;AGO;Sub-Saharan Africa;1964;
Angola;AGO;Sub-Saharan Africa;1965;
Angola;AGO;Sub-Saharan Africa;1966;
Angola;AGO;Sub-Saharan Africa;1967;
Angola;AGO;Sub-Saharan Africa;1968;
Angola;AGO;Sub-Saharan Africa;1969;
Angola;AGO;Sub-Saharan Africa;1970;
Angola;AGO;Sub-Saharan Africa;1971;
Angola;AGO;Sub-Saharan Africa;1972;
Angola;AGO;Sub-Saharan Africa;1973;
Angola;AGO;Sub-Saharan Africa;1974;
Angola;AGO;Sub-Saharan Africa;1975;
Angola;AGO;Sub-Saharan Africa;1976;
Angola;AGO;Sub-Saharan Africa;1977;
Angola;AGO;Sub-Saharan Africa;1978;
Angola;AGO;Sub-Saharan Africa;1979;
Angola;AGO;Sub-Saharan Africa;1980;
Angola;AGO;Sub-Saharan Africa;1981;
Angola;AGO;Sub-Saharan Africa;1982;
Angola;AGO;Sub-Saharan Africa;1983;
Angola;AGO;Sub-Saharan Africa;1984;
Angola;AGO;Sub-Saharan Africa;1985;6804278062.62664
Angola;AGO;Sub-Saharan Africa;1986;6355849179.35458
Angola;AGO;Sub-Saharan Africa;1987;7383121653.67413
Angola;AGO;Sub-Saharan Africa;1988;7975234067.37627
Angola;AGO;Sub-Saharan Africa;1989;9283054576.2006
Angola;AGO;Sub-Saharan Africa;1990;10260193360.6806
Angola;AGO;Sub-Saharan Africa;1991;12193746624.6789
Angola;AGO;Sub-Saharan Africa;1992;5779394291.7582
Angola;AGO;Sub-Saharan Africa;1993;5285600050.3455
Angola;AGO;Sub-Saharan Africa;1994;4059352153.05368
Angola;AGO;Sub-Saharan Africa;1995;5039552482.42778
Angola;AGO;Sub-Saharan Africa;1996;7526446605.51712
Angola;AGO;Sub-Saharan Africa;1997;7648377412.83277
Angola;AGO;Sub-Saharan Africa;1998;6445041824.66621
Angola;AGO;Sub-Saharan Africa;1999;6152922942.98032
Angola;AGO;Sub-Saharan Africa;2000;9129594818.60749
Angola;AGO;Sub-Saharan Africa;2001;8936079252.77131
Angola;AGO;Sub-Saharan Africa;2002;12497346042.1583
Angola;AGO;Sub-Saharan Africa;2003;14188949239.8883
Angola;AGO;Sub-Saharan Africa;2004;19640862549.9734
Angola;AGO;Sub-Saharan Africa;2005;28233699333.6996
Angola;AGO;Sub-Saharan Africa;2006;41789493191.7536
Angola;AGO;Sub-Saharan Africa;2007;60448887582.7354
Angola;AGO;Sub-Saharan Africa;2008;84178084135.3609
Angola;AGO;Sub-Saharan Africa;2009;75492416522.9248
Angola;AGO;Sub-Saharan Africa;2010;82470894868.3337
Angola;AGO;Sub-Saharan Africa;2011;104115867663.458
Angola;AGO;Sub-Saharan Africa;2012;115341559475.426
